ts,Entrada,Medio-adentro,Medio-1,Medio-2,Medio-3,Medio-4,Inferior-adentro,Inferior-afuera,Salida
02/04/2020 12:08,24.91,24.72,24.43,24.19,24.14,23.63,24.06,23.88,23.9
02/04/2020 12:18,24.88,24.8,24.47,24.25,24.16,23.66,24.12,23.99,23.94
02/04/2020 12:28,24.89,24.76,24.45,24.21,24.15,23.64,24.09,23.94,23.92
02/04/2020 12:38,24.84,24.79,24.5,24.19,24.12,23.65,24.07,23.94,23.88
02/04/2020 12:48,24.88,24.78,24.46,24.2,24.11,23.67,24.05,23.86,23.87
02/04/2020 12:58,24.87,24.82,24.51,24.26,24.15,23.68,24.1,24.01,23.91
02/04/2020 13:08,24.96,24.82,24.52,24.28,24.14,23.72,24.15,23.93,23.93
02/04/2020 13:18,24.94,24.81,24.52,24.22,24.08,23.69,24.06,23.86,23.87
02/04/2020 13:28,24.94,24.84,24.54,24.27,24.12,23.73,24.11,23.94,23.91
02/04/2020 13:38,24.9,24.88,24.55,24.24,24.08,23.71,24.08,24,23.91
02/04/2020 13:48,24.89,24.91,24.55,24.24,24.1,23.73,24.1,23.97,23.9
02/04/2020 13:58,24.93,24.95,24.59,24.3,24.11,23.79,24.15,24.01,23.97
02/04/2020 14:08,24.9,24.89,24.57,24.26,24.09,23.76,24.1,23.94,23.92
02/04/2020 14:18,25.01,24.88,24.57,24.28,24.1,23.75,24.1,23.95,23.96
02/04/2020 14:28,24.95,24.94,24.62,24.27,24.13,23.81,24.1,23.98,23.97
02/04/2020 14:38,,,,,,,,,
02/04/2020 14:48,24.65,23.92,23.02,23.99,24.23,22.75,24.02,23.92,23.23
02/04/2020 14:58,24.63,23.93,22.98,23.99,24.23,22.75,24.05,24.04,23.24
02/04/2020 15:08,24.7,23.94,23.01,23.98,24.21,22.75,24.04,23.91,23.29
02/04/2020 15:18,24.82,24.48,24,24.05,24.24,22.89,24.06,23.94,23.65
02/04/2020 15:28,24.79,24.52,24.19,24.14,24.33,23.29,24.12,24.09,23.79
02/04/2020 15:38,24.92,24.58,24.32,24.23,24.39,23.45,24.17,24.05,23.9
02/04/2020 15:48,24.96,24.63,24.41,24.3,24.44,23.58,24.26,24.22,24
02/04/2020 15:58,25.05,24.73,24.49,24.34,24.47,23.63,24.27,24.29,24.05
02/04/2020 16:08,25.02,24.81,24.57,24.36,24.48,23.78,24.3,24.23,24.06
02/04/2020 16:18,25.02,24.83,24.59,24.39,24.52,23.78,24.32,24.35,24.1
02/04/2020 16:28,25.03,24.86,24.63,24.38,24.44,23.82,24.28,24.24,24.08
02/04/2020 16:38,24.98,24.82,24.56,24.37,24.41,23.74,24.26,24.25,24.45
02/04/2020 16:48,24.86,24.69,24.44,24.25,24.25,23.64,24.16,24.15,24.36
02/04/2020 16:58,24.71,24.58,24.29,24.11,24.09,23.55,24.05,23.91,24.22
02/04/2020 17:08,24.61,24.5,24.22,24.05,24.02,23.46,23.95,23.88,24.15
02/04/2020 17:18,24.59,24.52,24.19,24.02,23.94,23.46,23.88,23.77,24.09
02/04/2020 17:28,24.48,24.48,24.18,23.97,23.9,23.42,23.89,23.84,24.05
02/04/2020 17:38,24.54,24.43,24.13,23.95,23.86,23.38,23.81,23.68,24.02
02/04/2020 17:48,24.56,24.44,24.15,23.95,23.84,23.39,23.86,23.68,24.01
02/04/2020 17:58,24.56,24.55,24.23,24.02,23.91,23.45,23.9,23.71,24.1
02/04/2020 18:08,24.56,24.54,24.23,24,23.89,23.42,23.9,23.83,24.09
02/04/2020 18:18,24.59,24.56,24.23,24.05,23.93,23.43,23.93,23.85,24.11
02/04/2020 18:28,24.66,24.61,24.33,24.07,23.97,23.5,23.96,23.88,24.18
02/04/2020 18:38,24.67,24.61,24.3,24.08,23.95,23.52,23.94,23.86,24.17
02/04/2020 18:48,24.77,24.64,24.35,24.1,23.96,23.54,23.95,23.79,24.22
02/04/2020 18:58,24.81,24.68,24.39,24.16,24.01,23.61,24.01,23.82,24.26
02/04/2020 19:08,24.81,24.75,24.42,24.17,24.03,23.62,24.01,23.94,24.3
02/04/2020 19:18,24.84,24.81,24.49,24.18,24.04,23.65,24.04,23.96,24.34
02/04/2020 19:28,24.98,24.87,24.54,24.25,24.08,23.7,24.09,23.98,24.4
02/04/2020 19:38,25.02,24.88,24.56,24.27,24.11,23.72,24.09,23.99,24.46
02/04/2020 19:48,25.02,24.94,24.59,24.28,24.07,23.78,24.12,23.93,24.44
02/04/2020 19:58,25.07,24.9,24.57,24.27,24.07,23.76,24.11,23.92,24.46
02/04/2020 20:08,25.12,25,24.63,24.33,24.12,23.82,24.15,23.93,24.52
02/04/2020 20:18,25.13,25.05,24.68,24.37,24.13,23.86,24.17,23.97,24.55
02/04/2020 20:28,25.09,25.08,24.71,24.36,24.14,23.86,24.18,24.09,24.55
02/04/2020 20:38,25.16,25.01,24.7,24.4,24.16,23.84,24.19,24,24.59
02/04/2020 20:48,25.11,25,24.67,24.32,24.12,23.85,24.16,23.95,24.55
02/04/2020 20:58,25.15,25.02,24.69,24.37,24.14,23.83,24.18,24.04,24.58
02/04/2020 21:08,25.12,25,24.7,24.38,24.12,23.85,24.18,23.99,24.6
02/04/2020 21:18,25.11,25.07,24.69,24.36,24.14,23.87,24.19,24.02,24.58
02/04/2020 21:28,25.16,25.02,24.71,24.39,24.15,23.86,24.2,24.02,24.55
02/04/2020 21:38,25.18,25,24.7,24.36,24.15,23.83,24.17,24.01,24.56
02/04/2020 21:48,25.14,25.04,24.71,24.42,24.16,23.88,24.21,24,24.59
02/04/2020 21:58,25.1,25.03,24.72,24.38,24.14,23.83,24.19,24.1,24.57
02/04/2020 22:08,25.18,25.09,24.72,24.45,24.18,23.91,24.23,24.03,24.63
02/04/2020 22:18,25.13,25.1,24.75,24.41,24.17,23.89,24.21,24.06,24.59
02/04/2020 22:28,25.2,25.1,24.78,24.43,24.2,23.92,24.23,24.05,24.62
02/04/2020 22:38,25.16,25.12,24.77,24.42,24.17,23.93,24.23,24.04,24.6
02/04/2020 22:48,25.23,25.15,24.78,24.45,24.2,23.93,24.25,24.12,24.62
02/04/2020 22:58,25.22,25.19,24.84,24.49,24.22,23.97,24.31,24.1,24.65
02/04/2020 23:08,25.23,25.14,24.81,24.47,24.19,23.95,24.26,24.05,24.6
02/04/2020 23:18,25.24,25.13,24.78,24.44,24.18,23.91,24.24,24.05,24.63
02/04/2020 23:28,25.19,25.11,24.78,24.44,24.2,23.9,24.24,24.11,24.65
02/04/2020 23:38,25.22,25.16,24.82,24.47,24.2,23.97,24.28,24.09,24.62
02/04/2020 23:48,,,,,,,,,
02/04/2020 23:58,,,,,,,,,
03/04/2020 00:08,,,,,,,,,
03/04/2020 00:18,24.44,24.31,24.15,24.11,24.24,23.47,24.11,24.06,24.32
03/04/2020 00:28,24.43,24.27,24.14,24.07,24.23,23.48,24.06,24.01,24.35
03/04/2020 00:38,24.55,24.38,24.22,24.11,24.27,23.54,24.09,24.02,24.48
03/04/2020 00:48,24.66,24.4,24.28,24.18,24.29,23.58,24.14,24.1,24.46
03/04/2020 00:58,24.77,24.48,24.37,24.23,24.36,23.69,24.18,24.12,24.65
03/04/2020 01:08,24.87,24.57,24.46,24.29,24.4,23.76,24.22,24.17,24.72
03/04/2020 01:18,24.9,24.68,24.55,24.36,24.49,23.84,24.29,24.33,24.71
03/04/2020 01:28,24.95,24.75,24.62,24.38,24.49,23.87,24.33,24.29,24.74
03/04/2020 01:38,24.97,24.67,24.6,24.39,24.47,23.85,24.32,24.24,24.52
03/04/2020 01:48,24.92,24.64,24.54,24.32,24.4,23.83,24.27,24.18,24.4
03/04/2020 01:58,24.85,24.67,24.53,24.32,24.38,23.78,24.26,24.24,24.43
03/04/2020 02:08,24.8,24.64,24.48,24.24,24.3,23.78,24.18,24.09,24.35
03/04/2020 02:18,24.79,24.59,24.43,24.25,24.26,23.74,24.2,24.13,24.38
03/04/2020 02:28,24.73,24.58,24.43,24.23,24.21,23.72,24.14,24.01,24.34
03/04/2020 02:38,24.7,24.53,24.34,24.16,24.15,23.64,24.08,23.93,24.25
03/04/2020 02:48,24.69,24.52,24.36,24.15,24.15,23.63,24.08,23.98,24.28
03/04/2020 02:58,24.7,24.53,24.35,24.15,24.11,23.64,24.07,23.9,24.23
03/04/2020 03:08,24.67,24.54,24.36,24.17,24.13,23.63,24.07,24.03,24.26
03/04/2020 03:18,24.68,24.54,24.36,24.14,24.12,23.67,24.06,23.93,24.14
03/04/2020 03:28,24.68,24.57,24.36,24.14,24.12,23.63,24.04,23.95,24.24
03/04/2020 03:38,24.77,24.58,24.38,24.17,24.13,23.64,24.07,23.95,24.3
03/04/2020 03:48,24.73,24.6,24.4,24.19,24.14,23.66,24.08,23.99,24.28
03/04/2020 03:58,24.82,24.61,24.42,24.22,24.14,23.68,24.09,23.96,24.33
03/04/2020 04:08,24.8,24.7,24.47,24.21,24.16,23.72,24.15,24.05,24.39
03/04/2020 04:18,24.7,24.61,24.42,24.22,24.12,23.7,24.11,24.02,21.44
03/04/2020 04:28,24.65,24.57,24.36,24.17,24.07,23.67,24.08,23.95,24.1
03/04/2020 04:38,24.74,24.59,24.4,24.15,24.1,23.67,24.06,23.89,24.17
03/04/2020 04:48,24.75,24.66,24.49,24.19,24.14,23.7,24.13,23.96,24.24
03/04/2020 04:58,24.91,24.76,24.53,24.25,24.18,23.78,24.12,24,24.24
03/04/2020 05:08,24.97,24.77,24.56,24.25,24.19,23.83,24.14,23.94,24.37
03/04/2020 05:18,25.01,24.81,24.6,24.33,24.24,23.84,24.18,24.01,24.32
03/04/2020 05:28,25.06,24.88,24.64,24.35,24.26,23.88,24.22,24.02,24.45
03/04/2020 05:38,25.08,24.9,24.68,24.36,24.24,23.93,24.23,24.04,24.49
03/04/2020 05:48,25.06,24.92,24.69,24.39,24.25,23.89,24.22,24.09,24.49
03/04/2020 05:58,25.07,24.97,24.72,24.36,24.24,23.92,24.24,24.13,24.52
03/04/2020 06:08,25.02,24.92,24.67,24.34,24.25,23.89,24.2,24.08,24.47
03/04/2020 06:18,25.03,24.91,24.66,24.34,24.2,23.86,24.19,24.05,24.48
03/04/2020 06:28,25.07,24.94,24.69,24.38,24.24,23.94,24.22,24.05,24.5
03/04/2020 06:38,25.1,24.96,24.69,24.38,24.25,23.89,24.22,24.12,24.55
03/04/2020 06:48,25.09,24.93,24.66,24.36,24.23,23.9,24.2,24.03,24.49
03/04/2020 06:58,25.07,24.99,24.71,24.38,24.22,23.91,24.24,24.09,24.53
03/04/2020 07:08,25.17,24.97,24.72,24.41,24.24,23.93,24.23,24.05,24.55
03/04/2020 07:18,25.16,24.96,24.7,24.36,24.19,23.9,24.23,24.03,24.54
03/04/2020 07:28,25.17,24.98,24.75,24.42,24.24,23.94,24.26,24.1,24.53
03/04/2020 07:38,25.1,25.04,24.74,24.39,24.23,23.94,24.22,24.09,24.58
03/04/2020 07:48,25.11,25.02,24.75,24.38,24.21,23.94,24.21,24.03,24.51
03/04/2020 07:58,25.15,24.99,24.73,24.39,24.2,23.96,24.23,24.02,24.54
