ts,A4,A5,A6,T3,T4
02/04/2020 12:18,24.31,23.69,23.3,24.25,23.25
02/04/2020 12:28,24.41,23.76,23.35,24.375,23.4375
02/04/2020 12:38,24.53,23.8,23.37,24.5,23.5
02/04/2020 12:48,24.62,23.86,23.39,24.625,23.6875
02/04/2020 12:58,24.74,23.91,23.42,24.75,23.8125
02/04/2020 13:08,24.79,23.91,23.42,24.75,23.875
02/04/2020 13:18,24.87,24,23.44,24.875,23.9375
02/04/2020 13:28,24.9,24,23.43,24.9375,24.0625
02/04/2020 13:38,24.95,24.04,23.45,25.0625,24.125
02/04/2020 13:48,25,24.05,23.49,,
02/04/2020 13:58,25.11,24.06,23.5,25.1875,24.25
02/04/2020 14:08,25.14,24.14,23.52,25.25,24.375
02/04/2020 14:18,25.16,24.14,23.49,25.3125,24.4375
02/04/2020 14:28,25.2,24.15,23.49,25.375,24.375
02/04/2020 14:38,25.22,24.2,23.5,25.4375,24.5
02/04/2020 14:48,25.27,24.21,23.5,25.5,24.5
02/04/2020 14:58,25.3,24.26,23.54,25.5625,24.5625
02/04/2020 15:08,25.29,24.28,23.53,,
02/04/2020 15:18,25.3,24.3,23.57,25.625,24.625
02/04/2020 15:28,25.37,24.4,23.61,25.6875,24.6875
02/04/2020 15:38,25.3,24.37,23.64,25.75,24.6875
02/04/2020 15:48,25.37,24.46,23.72,25.75,24.75
02/04/2020 15:58,25.38,24.45,23.73,25.8125,24.8125
02/04/2020 16:08,25.39,24.5,23.75,25.8125,24.8125
02/04/2020 16:18,25.46,24.55,23.79,25.8125,24.8125
02/04/2020 16:28,25.44,24.54,23.82,25.875,24.875
02/04/2020 16:38,25.43,24.58,23.82,25.8125,24.875
02/04/2020 16:48,25.41,24.58,23.82,25.8125,24.875
02/04/2020 16:58,25.42,24.6,23.84,25.875,24.9375
02/04/2020 17:08,25.43,24.63,23.9,25.875,24.875
02/04/2020 17:18,25.39,24.58,23.85,25.875,24.875
02/04/2020 17:28,25.35,24.62,23.88,25.875,24.9375
02/04/2020 17:38,25.37,24.62,23.9,25.875,24.9375
02/04/2020 17:48,25.35,24.64,23.89,25.875,24.9375
02/04/2020 17:58,25.39,24.68,23.99,,
02/04/2020 18:08,25.36,24.68,23.97,25.875,24.9375
02/04/2020 18:18,25.34,24.66,23.96,25.875,25
02/04/2020 18:28,25.32,24.67,23.96,25.8125,25
02/04/2020 18:38,25.34,24.71,24.02,25.8125,25
02/04/2020 18:48,25.34,24.7,24.01,25.8125,25
02/04/2020 18:58,25.26,24.69,24.02,25.8125,24.9375
02/04/2020 19:08,25.15,24.62,23.97,25.8125,24.9375
02/04/2020 19:18,25.11,24.61,24.01,25.8125,24.9375
02/04/2020 19:28,25.06,24.62,24.03,25.75,24.9375
02/04/2020 19:38,25.04,24.61,24.03,24.8125,24.8125
02/04/2020 19:48,25.03,24.62,24.07,24.625,24.6875
02/04/2020 19:58,24.91,24.55,24,24.5,24.5625
02/04/2020 20:08,24.97,24.61,24.07,24.4375,24.5
02/04/2020 20:18,24.87,24.55,24.03,24.375,24.4375
02/04/2020 20:28,24.87,24.57,24.06,24.3125,24.375
02/04/2020 20:38,24.79,24.48,24.01,24.25,24.3125
02/04/2020 20:48,24.8,24.51,24.03,24.25,24.25
02/04/2020 20:58,24.74,24.49,24.05,,
02/04/2020 21:08,24.76,24.52,24.01,24.1875,24.1875
02/04/2020 21:18,24.71,24.44,24.04,24.125,24.1875
02/04/2020 21:28,24.65,24.42,24.01,24.125,24.125
02/04/2020 21:38,24.69,24.47,24.07,24.0625,24.125
02/04/2020 21:48,24.66,24.45,24.07,24.0625,24.125
02/04/2020 21:58,24.63,24.41,24.02,24.0625,24.0625
02/04/2020 22:08,24.62,24.42,24.05,24.0625,24.0625
02/04/2020 22:18,24.55,24.38,23.98,24,24.0625
02/04/2020 22:28,24.63,24.41,24.03,24,24
02/04/2020 22:38,24.58,24.4,24.03,24,24
02/04/2020 22:48,24.51,24.37,23.99,24,24
02/04/2020 22:58,24.48,24.31,23.97,23.9375,23.9375
02/04/2020 23:08,24.46,24.29,23.97,23.9375,23.9375
02/04/2020 23:18,24.44,24.3,23.96,23.9375,23.9375
02/04/2020 23:28,24.44,24.28,23.95,23.9375,23.9375
02/04/2020 23:38,24.49,24.32,23.99,23.9375,23.9375
02/04/2020 23:48,24.47,24.32,24,23.9375,23.9375
02/04/2020 23:58,24.44,24.31,24,23.875,23.875
03/04/2020 00:08,24.43,24.29,23.96,23.875,23.875
03/04/2020 00:18,24.39,24.24,23.98,23.875,23.875
03/04/2020 00:28,24.39,24.23,23.95,23.875,23.875
03/04/2020 00:38,24.34,24.2,23.93,23.875,23.875
03/04/2020 00:48,24.33,24.22,23.94,23.875,23.875
03/04/2020 00:58,24.33,24.21,23.91,23.8125,23.875
03/04/2020 01:08,24.37,24.23,23.95,23.8125,23.8125
03/04/2020 01:18,24.31,24.22,23.96,23.8125,23.8125
03/04/2020 01:28,24.37,24.2,23.91,23.8125,23.8125
03/04/2020 01:38,24.35,24.23,23.92,23.8125,23.8125
03/04/2020 01:48,24.3,24.16,23.91,23.8125,23.8125
03/04/2020 01:58,24.35,24.23,23.94,23.8125,23.8125
03/04/2020 02:08,24.3,24.19,23.91,,
03/04/2020 02:18,24.27,24.17,23.87,23.8125,23.8125
03/04/2020 02:28,24.31,24.21,23.96,23.8125,23.8125
03/04/2020 02:38,24.24,24.16,23.89,23.8125,23.8125
03/04/2020 02:48,24.27,24.2,23.93,23.8125,23.75
03/04/2020 02:58,24.26,24.15,23.91,23.8125,23.75
03/04/2020 03:08,24.26,24.16,23.91,23.75,23.75
03/04/2020 03:18,24.2,24.17,23.94,23.75,23.75
03/04/2020 03:28,24.24,24.2,23.91,23.75,23.75
03/04/2020 03:38,24.19,24.21,23.9,23.75,23.75
03/04/2020 03:48,24.24,24.2,23.94,23.75,23.75
03/04/2020 03:58,24.24,24.17,23.9,23.75,23.75
03/04/2020 04:08,24.27,24.19,23.96,23.75,23.75
03/04/2020 04:18,24.25,24.17,23.93,23.75,23.75
03/04/2020 04:28,24.21,24.16,23.91,,
03/04/2020 04:38,24.24,24.15,23.92,,
03/04/2020 04:48,24.21,24.15,23.93,23.75,23.75
03/04/2020 04:58,24.19,24.11,23.89,23.75,23.75
03/04/2020 05:08,24.21,24.13,23.91,23.75,23.75
03/04/2020 05:18,24.2,24.14,23.91,23.75,23.75
03/04/2020 05:28,24.15,24.1,23.86,23.75,23.75
03/04/2020 05:38,24.11,24.07,23.84,23.75,23.75
03/04/2020 05:48,24.16,24.11,23.91,23.75,23.75
03/04/2020 05:58,24.13,24.06,23.85,23.75,23.75
03/04/2020 06:08,24.17,24.11,23.87,23.75,23.6875
03/04/2020 06:18,24.07,24.06,23.84,23.6875,23.6875
03/04/2020 06:28,24.13,24.12,23.87,23.6875,23.6875
03/04/2020 06:38,24.12,24.08,23.87,23.6875,23.6875
03/04/2020 06:48,24.08,24.09,23.89,23.6875,23.6875
03/04/2020 06:58,24.14,24.1,23.85,23.6875,23.6875
03/04/2020 07:08,24.06,24.05,23.86,23.6875,23.6875
03/04/2020 07:18,24.12,24.08,23.87,23.625,23.625
03/04/2020 07:28,24.11,24.07,23.86,23.625,23.625
03/04/2020 07:38,24.09,24.07,23.89,23.625,23.625
03/04/2020 07:48,24.04,23.99,23.82,23.625,23.625
03/04/2020 07:58,24.08,24.04,23.85,,
03/04/2020 08:08,24.07,24.02,23.84,23.6875,23.6875
03/04/2020 08:18,24.07,24.05,23.83,23.6875,23.6875
03/04/2020 08:28,24.03,24,23.85,23.6875,23.6875
03/04/2020 08:38,24.06,24.03,23.83,23.6875,23.6875
03/04/2020 08:48,24.03,23.99,23.86,23.6875,23.6875
03/04/2020 08:58,24,24,23.82,,
03/04/2020 09:08,23.98,23.95,23.78,23.625,23.625
03/04/2020 09:18,23.99,23.97,23.81,23.625,23.625
03/04/2020 09:28,23.95,23.92,23.77,23.625,23.625
03/04/2020 09:38,23.98,23.92,23.81,23.625,23.625
03/04/2020 09:48,23.96,23.91,23.79,23.625,23.625
03/04/2020 09:58,23.93,23.88,23.74,23.625,23.625
03/04/2020 10:08,23.93,23.86,23.74,23.625,23.625
03/04/2020 10:18,23.86,23.84,23.7,23.625,23.625
03/04/2020 10:28,23.84,23.79,23.69,23.625,23.625
03/04/2020 10:38,23.82,23.77,23.65,23.625,23.625
03/04/2020 10:48,23.81,23.74,23.59,23.625,23.625
03/04/2020 10:58,23.78,23.73,23.59,23.5625,23.625
03/04/2020 11:08,23.8,23.71,23.53,23.5625,23.625
03/04/2020 11:18,23.94,23.71,23.54,23.5625,23.625
03/04/2020 11:28,24.08,23.72,23.54,23.625,23.5625
03/04/2020 11:38,24.23,23.76,23.56,23.625,23.625
03/04/2020 11:48,24.32,23.82,23.53,23.625,23.625
03/04/2020 11:58,24.45,23.89,23.56,23.5625,23.5625
03/04/2020 12:08,24.53,23.91,23.54,24.0625,23.25
03/04/2020 12:18,24.56,23.88,23.51,24.375,23.4375
03/04/2020 12:28,24.6,23.92,23.49,24.5,23.625
03/04/2020 12:38,24.72,23.99,23.5,24.6875,23.75
03/04/2020 12:48,24.79,24.04,23.56,24.75,23.875
03/04/2020 12:58,24.91,24.13,23.62,24.875,23.9375
03/04/2020 13:08,25,24.13,23.62,24.9375,24.0625
03/04/2020 13:18,25.12,24.21,23.66,25.0625,24.125
03/04/2020 13:28,25.17,24.25,23.69,25.125,24.25
03/04/2020 13:38,25.21,24.29,23.68,25.1875,24.3125
03/04/2020 13:48,25.25,24.32,23.72,,
03/04/2020 13:58,25.24,24.33,23.7,25.3125,24.4375
03/04/2020 14:08,25.27,24.33,23.7,25.4375,24.5
03/04/2020 14:18,25.27,24.32,23.72,25.5,24.625
03/04/2020 14:28,25.37,24.37,23.78,25.5625,24.625
03/04/2020 14:38,25.42,24.4,23.78,25.5625,24.6875
03/04/2020 14:48,25.45,24.43,23.78,25.625,24.6875
03/04/2020 14:58,25.42,24.42,23.73,25.625,24.75
03/04/2020 15:08,25.39,24.39,23.67,25.6875,24.8125
03/04/2020 15:18,25.4,24.42,23.71,25.75,24.75
03/04/2020 15:28,25.43,24.46,23.74,25.75,24.8125
03/04/2020 15:38,25.46,24.58,23.81,25.8125,24.875
03/04/2020 15:48,25.41,24.53,23.82,25.8125,24.9375
03/04/2020 15:58,25.46,24.58,23.88,25.875,24.9375
03/04/2020 16:08,25.5,24.63,23.91,25.875,24.9375
03/04/2020 16:18,25.53,24.67,23.96,25.9375,25
03/04/2020 16:28,25.54,24.7,23.99,25.9375,25
03/04/2020 16:38,25.59,24.74,24.03,25.875,25
03/04/2020 16:48,25.56,24.72,24.01,25.9375,25
03/04/2020 16:58,25.6,24.77,24.08,25.9375,25
03/04/2020 17:08,25.64,24.81,24.07,25.9375,25
03/04/2020 17:18,25.58,24.78,24.07,26,25
03/04/2020 17:28,25.58,24.79,24.11,26,25
03/04/2020 17:38,25.6,24.83,24.11,26,25.0625
03/04/2020 17:48,25.56,24.81,24.11,26,25.0625
03/04/2020 17:58,25.6,24.85,24.14,26,25.0625
03/04/2020 18:08,25.59,24.88,24.16,26,25.0625
03/04/2020 18:18,25.52,24.83,24.12,26.0625,25.0625
03/04/2020 18:28,25.51,24.84,24.16,26.0625,25.0625
03/04/2020 18:38,25.46,24.87,24.16,26.0625,25.0625
03/04/2020 18:48,25.49,24.88,24.2,26.0625,25.0625
03/04/2020 18:58,25.46,24.85,24.17,26.0625,25.125
03/04/2020 19:08,25.46,24.86,24.22,26.0625,25.125
03/04/2020 19:18,25.45,24.86,24.22,26.0625,25.125
03/04/2020 19:28,25.4,24.84,24.23,26.0625,25.0625
03/04/2020 19:38,25.34,24.83,24.21,26.0625,25.0625
03/04/2020 19:48,25.32,24.82,24.26,25.25,25.1875
03/04/2020 19:58,25.24,24.81,24.23,24.875,24.9375
03/04/2020 20:08,25.26,24.83,24.28,24.75,24.75
03/04/2020 20:18,25.21,24.79,24.25,24.625,24.6875
03/04/2020 20:28,25.16,24.77,24.26,24.5625,24.625
03/04/2020 20:38,25.15,24.77,24.29,24.5,24.5
03/04/2020 20:48,25.06,24.74,24.27,24.4375,24.5
03/04/2020 20:58,25.1,24.79,24.3,24.375,24.4375
03/04/2020 21:08,25.01,24.69,24.26,24.375,24.375
03/04/2020 21:18,24.98,24.71,24.26,24.3125,24.375
03/04/2020 21:28,24.96,24.69,24.26,24.3125,24.3125
03/04/2020 21:38,24.97,24.7,24.3,24.25,24.3125
03/04/2020 21:48,24.92,24.65,24.27,24.25,24.25
03/04/2020 21:58,24.86,24.65,24.25,24.25,24.25
03/04/2020 22:08,24.88,24.65,24.25,24.1875,24.1875
03/04/2020 22:18,24.83,24.62,24.25,24.1875,24.1875
