ts,T3,T4,Entrada,Medio-adentro,Medio-1,Medio-2,Medio-3,Medio-4,Inferior-adentro,Inferior-afuera,Salida
2020-04-02 12:18:00,24.25,23.25,24.88,24.8,24.47,24.25,24.16,23.66,24.12,23.99,23.94
2020-04-02 12:28:00,24.375,23.4375,24.89,24.76,24.45,24.21,24.15,23.64,24.09,23.94,23.92
2020-04-02 12:38:00,24.5,23.5,24.84,24.79,24.5,24.19,24.12,23.65,24.07,23.94,23.88
2020-04-02 12:48:00,24.625,23.6875,24.88,24.78,24.46,24.2,24.11,23.67,24.05,23.86,23.87
2020-04-02 12:58:00,24.75,23.8125,24.87,24.82,24.51,24.26,24.15,23.68,24.1,24.01,23.91
2020-04-02 13:08:00,24.75,23.875,24.96,24.82,24.52,24.28,24.14,23.72,24.15,23.93,23.93
2020-04-02 13:18:00,24.875,23.9375,24.94,24.81,24.52,24.22,24.08,23.69,24.06,23.86,23.87
2020-04-02 13:28:00,24.9375,24.0625,24.94,24.84,24.54,24.27,24.12,23.73,24.11,23.94,23.91
2020-04-02 13:38:00,25.0625,24.125,24.9,24.88,24.55,24.24,24.08,23.71,24.08,24,23.91
2020-04-02 13:48:00,25.1875,24.25,24.93,24.95,24.59,24.3,24.11,23.79,24.15,24.01,23.97
2020-04-02 13:58:00,25.25,24.375,24.9,24.89,24.57,24.26,24.09,23.76,24.1,23.94,23.92
2020-04-02 14:08:00,25.3125,24.4375,25.01,24.88,24.57,24.28,24.1,23.75,24.1,23.95,23.96
2020-04-02 14:18:00,25.375,24.375,24.95,24.94,24.62,24.27,24.13,23.81,24.1,23.98,23.97
2020-04-02 14:28:00,25.5,24.5,24.65,23.92,23.02,23.99,24.23,22.75,24.02,23.92,23.23
2020-04-02 14:38:00,25.5625,24.5625,24.63,23.93,22.98,23.99,24.23,22.75,24.05,24.04,23.24
2020-04-02 14:48:00,25.625,24.625,24.82,24.48,24,24.05,24.24,22.89,24.06,23.94,23.65
2020-04-02 14:58:00,25.6875,24.6875,24.79,24.52,24.19,24.14,24.33,23.29,24.12,24.09,23.79
2020-04-02 15:08:00,25.75,24.6875,24.92,24.58,24.32,24.23,24.39,23.45,24.17,24.05,23.9
2020-04-02 15:18:00,25.75,24.75,24.96,24.63,24.41,24.3,24.44,23.58,24.26,24.22,24
2020-04-02 15:28:00,25.8125,24.8125,25.05,24.73,24.49,24.34,24.47,23.63,24.27,24.29,24.05
2020-04-02 15:38:00,25.8125,24.8125,25.02,24.81,24.57,24.36,24.48,23.78,24.3,24.23,24.06
2020-04-02 15:48:00,25.8125,24.8125,25.02,24.83,24.59,24.39,24.52,23.78,24.32,24.35,24.1
2020-04-02 15:58:00,25.875,24.875,25.03,24.86,24.63,24.38,24.44,23.82,24.28,24.24,24.08
2020-04-02 16:08:00,25.8125,24.875,24.98,24.82,24.56,24.37,24.41,23.74,24.26,24.25,24.45
2020-04-02 16:18:00,25.8125,24.875,24.86,24.69,24.44,24.25,24.25,23.64,24.16,24.15,24.36
2020-04-02 16:28:00,25.875,24.9375,24.71,24.58,24.29,24.11,24.09,23.55,24.05,23.91,24.22
2020-04-02 16:38:00,25.875,24.875,24.61,24.5,24.22,24.05,24.02,23.46,23.95,23.88,24.15
2020-04-02 16:48:00,25.875,24.875,24.59,24.52,24.19,24.02,23.94,23.46,23.88,23.77,24.09
2020-04-02 16:58:00,25.875,24.9375,24.48,24.48,24.18,23.97,23.9,23.42,23.89,23.84,24.05
2020-04-02 17:08:00,25.875,24.9375,24.54,24.43,24.13,23.95,23.86,23.38,23.81,23.68,24.02
2020-04-02 17:18:00,25.875,24.9375,24.56,24.44,24.15,23.95,23.84,23.39,23.86,23.68,24.01
